garmin_product,manufacturer,number,serial_number,time_created,type,software_version,unknown_2,unknown_3,unknown_4,product,timestamp,unknown_0,unknown_1,unknown_253,unknown_5,unknown_6,unknown_7,unknown_8,unknown_9,unknown_11,source_file,fit_type
3289.0,garmin,1928.0,3394818363.0,2023-06-30 22:49:05,44.0,,,,,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080195894_METRICS.fit,METRICS
,,,,,,2600.0,fenix 6,1.0,1.0,,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080195894_METRICS.fit,METRICS
,,,3394818363.0,,,26.0,,,,3289.0,2023-06-30 22:49:05,,,,,,,,,,C:\CrossFitCoach\fit_files\197080195894_METRICS.fit,METRICS
,,,,,,,,,,,,1057135745.0,0.0,1057099745.0,,,,,,,C:\CrossFitCoach\fit_files\197080195894_METRICS.fit,METRICS
,,,,,,,0,334.0,734.0,,,34036534.0,80232342.0,1057099744.0,400.0,801.0,133.0,400.0,4.0,,C:\CrossFitCoach\fit_files\197080195894_METRICS.fit,METRICS
,,,,,,,5,2.0,,,,1.0,0.0,1057099744.0,,,,,0.0,4.0,C:\CrossFitCoach\fit_files\197080195894_METRICS.fit,METRICS
,,,,,,,1,100.0,397.0,,,8.0,1.0,1057099744.0,2.0,,,,,,C:\CrossFitCoach\fit_files\197080195894_METRICS.fit,METRICS
,,,,,,,2780,6189.0,13511.0,,,1057135744.0,1313.0,1057099744.0,,,,,,,C:\CrossFitCoach\fit_files\197080195894_METRICS.fit,METRICS
,,,,,,,4219800,10549500.0,0.0,,,0.0,0.0,1057099745.0,,,,,,,C:\CrossFitCoach\fit_files\197080195894_METRICS.fit,METRICS
,,,,,,,0,249.0,0.0,,,723.0,1057099745.0,,5.0,,,,,,C:\CrossFitCoach\fit_files\197080195894_METRICS.fit,METRICS
