ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,device_index,device_type,fit_type,garmin_product,hardware_version,local_timestamp,manufacturer,number,product,sensor_position,serial_number,software_version,source_file,source_type,time_created,timestamp,type,unknown_0,unknown_1,unknown_13,unknown_14,unknown_15,unknown_16,unknown_17,unknown_2,unknown_23,unknown_24,unknown_253,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,unknown_9
,,,,,,,,HRV_STATUS,3289.0,,,garmin,,,,3394818363.0,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,2023-06-30 22:49:05,,68.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,2600.0,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,creator,,HRV_STATUS,3289.0,,,garmin,,,,3394818363.0,26.0,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,local,,2023-06-30 13:39:00,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,
,,,,,,1,10.0,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,local,,2023-06-30 13:39:00,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,,,,,,,,,,,1057066740.0,,,,,,1.0,,,,,
,,,,,,,,HRV_STATUS,,,2023-06-30 23:39:00,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,2023-06-30 13:39:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3840.0,,,,,,,,,,1057066827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3712.0,,,,,,,,,,1057067127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3456.0,,,,,,,,,,1057067427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4736.0,,,,,,,,,,1057067727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4864.0,,,,,,,,,,1057068027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3968.0,,,,,,,,,,1057068327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3840.0,,,,,,,,,,1057068627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3328.0,,,,,,,,,,1057068927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3328.0,,,,,,,,,,1057069227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3456.0,,,,,,,,,,1057069527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3712.0,,,,,,,,,,1057069827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3456.0,,,,,,,,,,1057070127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3328.0,,,,,,,,,,1057070427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,,,,,,,,,,,1057070727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4608.0,,,,,,,,,,1057071027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5504.0,,,,,,,,,,1057071327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6144.0,,,,,,,,,,1057071627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,6144.0,,,,,,,,,,1057071927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4480.0,,,,,,,,,,1057072227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3840.0,,,,,,,,,,1057072527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2816.0,,,,,,,,,,1057072827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2816.0,,,,,,,,,,1057073127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2688.0,,,,,,,,,,1057073427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2816.0,,,,,,,,,,1057073727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2560.0,,,,,,,,,,1057074027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2560.0,,,,,,,,,,1057074327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2688.0,,,,,,,,,,1057074627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3072.0,,,,,,,,,,1057074927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3200.0,,,,,,,,,,1057075227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,2816.0,,,,,,,,,,1057075527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3584.0,,,,,,,,,,1057075827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4224.0,,,,,,,,,,1057076127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3328.0,,,,,,,,,,1057076427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3968.0,,,,,,,,,,1057076727.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5120.0,,,,,,,,,,1057077027.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5248.0,,,,,,,,,,1057077327.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,5376.0,,,,,,,,,,1057077627.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4480.0,,,,,,,,,,1057077927.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4608.0,,,,,,,,,,1057078227.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,7808.0,,,,,,,,,,1057078527.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4864.0,,,,,,,,,,1057078827.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4480.0,,,,,,,,,,1057079127.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,4352.0,,,,,,,,,,1057079427.0,,,,,,,,,,,
,,,,,,,,HRV_STATUS,,,,,,,,,,C:\CrossFitCoach\fit_files\197080184115_HRV_STATUS.fit,,,,,3584.0,,,,,,,,,,1057079727.0,,,,,,,,,,,
