fit_type,garmin_product,manufacturer,number,product,serial_number,software_version,source_file,time_created,timestamp,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_12,unknown_13,unknown_14,unknown_2,unknown_253,unknown_3,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,unknown_9
METRICS,3289.0,garmin,1926.0,,3394818363.0,,C:\CrossFitCoach\fit_files\197080177250_METRICS.fit,2023-06-30 14:05:28,,44.0,,,,,,,,,,,,,,,,
METRICS,,,,,,2600.0,C:\CrossFitCoach\fit_files\197080177250_METRICS.fit,,,,,,,,,,,fenix 6,,1.0,1.0,,,,,
METRICS,,,,3289.0,3394818363.0,26.0,C:\CrossFitCoach\fit_files\197080177250_METRICS.fit,,2023-06-30 14:05:28,,,,,,,,,,,,,,,,,
METRICS,,,,,,,C:\CrossFitCoach\fit_files\197080177250_METRICS.fit,,,,1057104328.0,0.0,,,,,,,1057068328.0,,,,,,,
METRICS,,,,,,,C:\CrossFitCoach\fit_files\197080177250_METRICS.fit,,,,1057068327.0,,67.0,940.0,50.0,980.0,,,1057068327.0,1057028215.0,900.0,900.0,0.0,,2.0,0.0
METRICS,,,,,,,C:\CrossFitCoach\fit_files\197080177250_METRICS.fit,,,,1057104327.0,1313.0,,,,,,2780,1057068327.0,6189.0,13511.0,,,,,
METRICS,3289.0,garmin,1927.0,,3394818363.0,,C:\CrossFitCoach\fit_files\197080190026_METRICS.fit,2023-06-30 22:49:05,,44.0,,,,,,,,,,,,,,,,
METRICS,,,,,,2600.0,C:\CrossFitCoach\fit_files\197080190026_METRICS.fit,,,,,,,,,,,fenix 6,,1.0,1.0,,,,,
METRICS,,,,3289.0,3394818363.0,26.0,C:\CrossFitCoach\fit_files\197080190026_METRICS.fit,,2023-06-30 22:49:05,,,,,,,,,,,,,,,,,
METRICS,,,,,,,C:\CrossFitCoach\fit_files\197080190026_METRICS.fit,,,,1057135745.0,0.0,,,,,,,1057099745.0,,,,,,,
