ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,data,device_index,device_type,event,event_group,event_type,fit_type,garmin_product,hardware_version,manufacturer,number,sensor_position,serial_number,software_version,source_file,source_type,time_created,timestamp,type,unknown_0,unknown_1,unknown_10,unknown_11,unknown_12,unknown_13,unknown_14,unknown_15,unknown_16,unknown_17,unknown_19,unknown_2,unknown_20,unknown_23,unknown_24,unknown_253,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_4,unknown_5,unknown_6,unknown_7,unknown_8,unknown_9
,,,,,,,,,,,,SLEEP_DATA,3289.0,,garmin,,,3394818363.0,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,,2023-06-30 22:49:09,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,SLEEP_DATA,,,,,,,2600.0,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,SLEEP_DATA,3289.0,,garmin,,,3394818363.0,26.0,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,,,2023-06-30 22:49:09,,,,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,,,
,,,,,,,,,,,,SLEEP_DATA,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,,,,,2.0,60.0,,,,,,,,,,1057135749,,,,1057099749.0,,1.0,,,,6.16.0.7-ETE-garmin-ce14010f,,,,,
,,,,,,1057102740.0,,,74.0,,start,SLEEP_DATA,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,,,2023-06-30 13:39:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1057134540.0,,,74.0,,stop,SLEEP_DATA,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,,,2023-06-30 22:29:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,SLEEP_DATA,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,,,,,76.0,65.0,84.0,1.0,18.0,0.0,78.0,3161.0,,,,87,,,,,,78.0,,,,100,66.0,48.0,48.0,0.0,53.0
,,,,,,,,,,,,SLEEP_DATA,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,,,,,2.0,,,,,,,,,,,,,,,1057068180.0,,,,,,,,,,,
,,,,,,,,,,,,SLEEP_DATA,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,,,,,3.0,,,,,,,,,,,,,,,1057070340.0,,,,,,,,,,,
,,,,,,,,,,,,SLEEP_DATA,,,,,,,,C:\CrossFitCoach\fit_files\197080201987_SLEEP_DATA.fit,,,,,2.0,,,,,,,,,,,,,,,1057073220.0,,,,,,,,,,,
