active_calories,active_time,activity_type,ascent,current_activity_type_intensity,cycles,cycles_to_calories,cycles_to_distance,data,data16,descent,distance,duration_min,enabled,event,event_type,fit_type,garmin_product,heart_rate,intensity,local_timestamp,manufacturer,moderate_activity_minutes,number,resting_metabolic_rate,serial_number,software_version,source_file,steps,stress_level_time,stress_level_value,time_created,timestamp,timestamp_16,type,unknown_0,unknown_1,unknown_14,unknown_15,unknown_16,unknown_2,unknown_253,unknown_3,unknown_35,unknown_36,unknown_37,unknown_38,unknown_4,unknown_6,unknown_7,unknown_8,version,vigorous_activity_minutes
,,,,,,,,,,,,,,,,WELLNESS,3289.0,,,,garmin,,71.0,,3394818363.0,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,2023-06-30 14:00:00,,,monitoring_b,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,3289.0,,,,garmin,,,,3394818363.0,26.0,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,2023-06-30 14:00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,,,,,,,,,,,,6.0,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,0.0,0.0,,,,200,,,,,,,,,,,,
,,"(6, 1)",,,,"(0.0542, 0.1708)","(1.7016, 2.5524)",,,,,,,,,WELLNESS,,,,2023-07-01,,,,2163.0,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,2023-06-30 14:00:00,,,,,,,,,,,,,,,,,"(6400, 6400)",,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(224, 147, 1, 63, 0, 2, 0, 6, 176, 0, 0, 13, 96, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,"(224, 147, 1, 63, 0, 3, 0, 255, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,2023-06-30 14:00:00,,,,,,,,,,,0.0,0.0,,,,,,,,
,,,,,,,,,,,,,,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,2023-06-30 14:00:00,,,,,,,,,,,,,0.0,0.0,,,,,,
,,,,,,,,,,,,,on,,,WELLNESS,,,,,,,,,,,C:\CrossFitCoach\fit_files\197080359519_WELLNESS.fit,,,,,,,,,,,,,,1057068000.0,,,,,,,,,,,
