Set,Exercise Name,Time,Rest,Reps,Weight,Volume,SessionStart,LocalDate,Sport,File,FileBytes
1,Exercise None,00:03.2,,0,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
2,Exercise None,00:46.4,,11,60 kg,660 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
3,Exercise None,02:04.5,,11,60 kg,660 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
4,Exercise None,02:10.2,,10,60 kg,600 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
5,Exercise None,01:38.4,,12,60 kg,720 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
6,Exercise None,02:12.6,,4,60 kg,240 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
7,Exercise None,02:17.2,,4,30 kg,120 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
8,Exercise None,01:27.0,,7,30 kg,210 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
9,Exercise None,01:34.0,,5,30 kg,150 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
10,Exercise None,01:35.6,,6,30 kg,180 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
11,Exercise None,01:46.9,,8,30 kg,240 kg,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
12,Exercise None,01:06.7,,4,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
13,Exercise None,01:31.0,,4,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
14,Exercise None,02:28.7,,5,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
15,Exercise None,00:09.5,,2,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
16,Exercise None,00:04.5,,,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
17,Exercise None,00:06.0,,0,,,18/01/2022 2:01,18/01/2022,training,j.campton_121031816590.fit,23327
1,Exercise None,06:23.8,,24,,,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
2,Exercise None,00:55.2,,7,50 kg,350 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
3,Exercise None,02:04.6,,4,50 kg,200 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
4,Exercise None,01:49.3,,6,50 kg,300 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
5,Exercise None,01:52.9,,6,50 kg,300 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
6,Exercise None,02:15.5,,5,50 kg,250 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
7,Exercise None,02:49.9,,12,50 kg,600 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
8,Exercise None,02:35.5,,5,50 kg,250 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
9,Exercise None,00:43.9,,7,50 kg,350 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
10,Exercise None,01:45.8,,7,50 kg,350 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
11,Exercise None,02:11.6,,6,50 kg,300 kg,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
12,Exercise None,01:58.2,,5,,,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
13,Exercise None,01:37.4,,6,,,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
14,Exercise None,01:43.2,,3,,,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
15,Exercise None,00:06.3,,0,,,20/01/2022 2:14,20/01/2022,training,j.campton_121303983108.fit,31812
1,Exercise None,00:40.0,,9,,,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
2,Exercise None,00:42.9,,10,70 kg,700 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
3,Exercise None,01:54.5,,4,70 kg,280 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
4,Exercise None,01:46.1,,6,70 kg,420 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
5,Exercise None,02:59.8,,6,70 kg,420 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
6,Exercise None,01:32.9,,11,70 kg,770 kg,24/01/2022 0:00,24/01/2022,training,j.campton_121821170715.fit,30837
