LocalDate,Sessions,Sets,TotalReps,TotalVolume_kg,TopWeight_kg,AvgWeight_kg,WorkTime_s,RestTime_s,Density_mean,Deadlift_Vol_kg,Olympic_Vol_kg,Other_Vol_kg,Press_Vol_kg,Squat_Vol_kg,UpperPullPush_Vol_kg,Deadlift_Top_kg,Olympic_Top_kg,Other_Top_kg,Press_Top_kg,Squat_Top_kg,UpperPullPush_Top_kg,Deadlift_Sets,Olympic_Sets,Other_Sets,Press_Sets,Squat_Sets,UpperPullPush_Sets
2022-01-18,1,17,93.0,3780.0,60.0,45.0,1382.4,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-01-20,1,15,103.0,3250.0,50.0,50.0,1853.1,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-01-24,1,16,97.0,3640.0,70.0,52.5,1632.1000000000001,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-01-25,1,16,82.0,2970.0,55.0,55.0,1681.2,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-01-26,1,16,117.0,4765.0,80.0,57.5,1666.8,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-01-30,1,18,92.0,3600.0,60.0,60.0,1727.5,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-01-31,1,36,100.0,3410.0,85.0,47.94117647058823,1810.5,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-02-01,1,18,106.0,4200.0,60.0,60.0,1779.9,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-02-03,1,34,84.0,3540.0,85.0,50.625,1810.4,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-02-04,1,34,97.0,3200.0,60.0,38.75,1902.9,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-02-08,1,32,97.0,3280.0,60.0,34.666666666666664,1769.8,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-02-10,1,34,104.0,3820.0,70.0,44.705882352941174,2072.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-02-12,1,42,108.0,4270.0,95.0,50.0,2357.6,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-04-04,1,18,101.0,2560.0,60.0,44.44444444444444,1257.7,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-04-06,1,20,98.0,1320.0,20.0,20.0,1680.7,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-05-19,1,44,88.0,4775.0,95.0,65.71428571428571,2913.3,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-05-25,1,36,112.0,2925.0,50.0,35.3125,2183.3,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-06-02,1,38,227.0,864.0,20.0,8.363636363636363,1793.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-06-07,1,49,250.0,1224.0,20.0,5.739130434782608,3685.5,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-06-09,1,48,279.0,1392.0,25.0,6.565217391304348,1976.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-06-15,1,36,212.0,1016.0,25.0,5.470588235294118,1743.2,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-06-21,1,62,290.0,3080.0,65.0,20.346153846153847,3779.4,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-06-23,1,20,97.0,2230.0,65.0,51.111111111111114,1604.3,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-06-29,1,64,333.0,3689.0,65.0,20.4,3325.3,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-06-30,1,22,62.0,2480.0,65.0,49.0,1732.1,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-07-01,1,24,74.0,2280.0,65.0,39.166666666666664,1785.1,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-07-02,1,22,53.0,1960.0,70.0,55.0,1522.2,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-07-11,1,16,63.0,2755.0,65.0,49.285714285714285,1411.5,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-07-12,1,48,265.0,1748.0,25.0,7.956521739130435,2270.9,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-07-13,1,22,83.0,3785.0,65.0,50.0,1669.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-07-15,1,22,80.0,3220.0,70.0,60.0,1903.1,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-07-17,1,34,148.0,8650.0,75.0,53.4375,187.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-07-19,1,22,93.0,3585.0,70.0,49.5,1459.7,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-07-20,1,48,244.0,2090.0,35.0,9.717391304347826,2425.3,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-07-23,1,20,81.0,3560.0,70.0,54.44444444444444,1803.8999999999999,0.0,1.0,,,,,,,,,,,,,,,,,,
2022-07-28,1,22,77.0,3370.0,75.0,63.0,1802.5,0.0,1.0,,,,,,,,,,,,,,,,,,
