LocalDate,Sessions,Sets,TotalReps,TotalVolume_kg,TopWeight_kg,AvgWeight_kg,WorkTime_s,RestTime_s,Density_mean,Deadlift_Vol_kg,Olympic_Vol_kg,Other_Vol_kg,Press_Vol_kg,Squat_Vol_kg,UpperPullPush_Vol_kg,Deadlift_Top_kg,Olympic_Top_kg,Other_Top_kg,Press_Top_kg,Squat_Top_kg,UpperPullPush_Top_kg,Deadlift_Sets,Olympic_Sets,Other_Sets,Press_Sets,Squat_Sets,UpperPullPush_Sets,Vol7d,Vol28d,ACWR_Vol,Sets7d,Sets28d,ACWR_Sets
2022-01-18,1,17,93.0,3780.0,60.0,45.0,1382.4,0.0,1.0,,,,,,,,,,,,,,,,,,,3780.0,,,17.0,,
2022-01-20,1,15,103.0,3250.0,50.0,50.0,1853.1,0.0,1.0,,,,,,,,,,,,,,,,,,,7030.0,,,32.0,,
2022-01-24,1,16,97.0,3640.0,70.0,52.5,1632.1,0.0,1.0,,,,,,,,,,,,,,,,,,,10670.0,,,48.0,,
2022-01-25,1,16,82.0,2970.0,55.0,55.0,1681.2,0.0,1.0,,,,,,,,,,,,,,,,,,,13640.0,,,64.0,,
2022-01-26,1,16,117.0,4765.0,80.0,57.5,1666.8,0.0,1.0,,,,,,,,,,,,,,,,,,,18405.0,,,80.0,,
2022-01-30,1,18,92.0,3600.0,60.0,60.0,1727.5,0.0,1.0,,,,,,,,,,,,,,,,,,,22005.0,,,98.0,,
2022-01-31,1,36,100.0,3410.0,85.0,47.94117647058823,1810.5,0.0,1.0,,,,,,,,,,,,,,,,,,,25415.0,25415.0,1.0,134.0,134.0,1.0
2022-02-01,1,18,106.0,4200.0,60.0,60.0,1779.9,0.0,1.0,,,,,,,,,,,,,,,,,,,25835.0,29615.0,0.8723619787269965,135.0,152.0,0.8881578947368421
2022-02-03,1,34,84.0,3540.0,85.0,50.625,1810.4,0.0,1.0,,,,,,,,,,,,,,,,,,,26125.0,33155.0,0.7879656160458453,154.0,186.0,0.8279569892473119
2022-02-04,1,34,97.0,3200.0,60.0,38.75,1902.9,0.0,1.0,,,,,,,,,,,,,,,,,,,25685.0,36355.0,0.7065052950075643,172.0,220.0,0.7818181818181819
2022-02-08,1,32,97.0,3280.0,60.0,34.666666666666664,1769.8,0.0,1.0,,,,,,,,,,,,,,,,,,,25995.0,39635.0,0.6558597199444935,188.0,252.0,0.746031746031746
2022-02-10,1,34,104.0,3820.0,70.0,44.70588235294117,2072.0,0.0,1.0,,,,,,,,,,,,,,,,,,,25050.0,43455.0,0.576458405246807,206.0,286.0,0.7202797202797203
2022-02-12,1,42,108.0,4270.0,95.0,50.0,2357.6,0.0,1.0,,,,,,,,,,,,,,,,,,,25720.0,47725.0,0.5389209009952854,230.0,328.0,0.7012195121951219
2022-04-04,1,18,101.0,2560.0,60.0,44.44444444444444,1257.7,0.0,1.0,,,,,,,,,,,,,,,,,,,24870.0,50285.0,0.49458088893308144,212.0,346.0,0.6127167630057804
2022-04-06,1,20,98.0,1320.0,20.0,20.0,1680.7,0.0,1.0,,,,,,,,,,,,,,,,,,,21990.0,51605.0,0.42612149985466524,214.0,366.0,0.5846994535519126
2022-05-19,1,44,88.0,4775.0,95.0,65.71428571428571,2913.3,0.0,1.0,,,,,,,,,,,,,,,,,,,23225.0,56380.0,0.41193685704150407,224.0,410.0,0.5463414634146342
2022-05-25,1,36,112.0,2925.0,50.0,35.3125,2183.3,0.0,1.0,,,,,,,,,,,,,,,,,,,22950.0,59305.0,0.3869825478458815,226.0,446.0,0.5067264573991032
2022-06-02,1,38,227.0,864.0,20.0,8.363636363636363,1793.0,0.0,1.0,,,,,,,,,,,,,,,,,,,20534.0,60169.0,0.3412720836311057,232.0,484.0,0.4793388429752066
2022-06-07,1,49,250.0,1224.0,20.0,5.739130434782608,3685.5,0.0,1.0,,,,,,,,,,,,,,,,,,,17938.0,61393.0,0.2921831479158862,247.0,533.0,0.4634146341463415
2022-06-09,1,48,279.0,1392.0,25.0,6.565217391304348,1976.0,0.0,1.0,,,,,,,,,,,,,,,,,,,15060.0,62785.0,0.23986621008202597,253.0,581.0,0.4354561101549053
2022-06-15,1,36,212.0,1016.0,25.0,5.470588235294118,1743.2,0.0,1.0,,,,,,,,,,,,,,,,,,,13516.0,63801.0,0.21184620930706416,271.0,617.0,0.4392220421393841
